photo_id,tag
823,"jardim, guarda-corpo, concreto, concreto pintado, ferro, vidro, madeira, pedra, cerâmica, pano de vidro, esquadria, veneziana, guarda corpo, corrimão, rampa, terraço, habitação, edifício, prédio, conjunto habitacional, circulação"
824,"guarda-corpo, calçada, concreto, concreto pintado, ferro, vidro, madeira, pedra, cerâmica, pano de vidro, esquadria, veneziana, guarda corpo, escada, corrimão, rampa, terraço, coluna, pilotis, habitação, edifício, prédio, conjunto habitacional, circulação, jardim"
825,"vidro, alvenaria, madeira, mesa, mobiliário, pilar, habitação, casa, residência, jardim"
826,"guarda-corpo, alvenaria, calçada, concreto, cerâmica, pedra, ferro, vidro, guarda corpo, fachada cega, pano de vidro, esquadria, janela basculante, mureta, prédio, edifício, jardim, rua"
827,"alvenaria, concreto, cerâmica, pedra, ferro, vidro, coluna, pilotis, guarda corpo, patamar, rampa, pano de vidro, esquadria, janela basculante, prédio, edifício, jardim, rua, calçada, guarda-corpo"
828,"guarda-corpo, alvenaria, concreto, cerâmica, pedra, ferro, vidro, fachada cega, coluna, pilotis, guarda corpo, patamar, pano de vidro, esquadria, janela basculante, prédio, edifício, jardim, rua, calçada"
829,"concreto, ferro, marquise, cobertura, esquadria, habitação, residência, construção, madeira, casa, jardim, concreto aparente, coluna, aço"
830,"concreto, concreto aparente, ferro, pedra, marquise, cobertura, esquadria, habitação, residência, jardim, construção, madeira, casa, escultura, coluna, aço"
831,"concreto, concreto aparente, madeira, rampa, pilar, apoio, patamar, habitação, residência, casa, circulação, construção"
832,"concreto, concreto aparente, madeira, rampa, pilar, apoio, patamar, habitação, residência, casa, circulação, construção"
833,"concreto, concreto aparente, madeira, rampa, pilar, apoio, habitação, residência, casa, circulação, construção"
834,"concreto, concreto aparente, madeira, rampa, patamar, habitação, residência, casa, circulação, construção"
835,"guarda-corpo, ferro, vidro, pedra, telhado, telhado duas águas, beiral, pano de vidro, esquadria, painel, guarda corpo, terraço, banco, rua, telha cerâmica, alvenaria, porta, cerâmica, calçada"
836,"concreto, ferro, vidro, madeira, pano de vidro, esquadria, mesa, mobiliário, pilar, comercial, alvenaria"
837,"concreto, ferro, vidro, madeira, pano de vidro, esquadria, mesa, mobiliário, guarda corpo, varanda, comercial, alvenaria, guarda-corpo"
838,"concreto, ferro, vidro, madeira, pano de vidro, esquadria, mesa, mobiliário, pilar, comercial, alvenaria"
839,"concreto, ferro, vidro, madeira, caixilho, mesa, mobiliário, comercial, alvenaria"
840,"concreto, concreto aparente, ferro, vidro, madeira, estrutura, platibanda, pilar, apoio, pano de vidro, esquadria, edifício"
841,"rua, concreto, concreto aparente, pedra, vidro, muro, parede curva, abertura zenital, brise, cobertura, rampa, habitação, residência, jardim, calçada"
842,"concreto, ferro, vidro, parede curva, brise, pilar, varanda, guarda corpo, estrutura, rua, prédio, edifício, calçada, poste, guarda-corpo"
843,"concreto, ferro, vidro, parede curva, brise, pilar, varanda, guarda corpo, estrutura, prédio, edifício, calçada, rua, poste, guarda-corpo"
844,"guarda-corpo, poste, concreto, ferro, vidro, parede curva, brise, pilar, varanda, guarda corpo, estrutura, painel, edifício, calçada, prédio, rua"
845,"casa, alvenaria, madeira, pedra, cerâmica, telha cerâmica, telhado duas águas, beiral, porta, janela, caixilho, estrutura, abertura, habitação, residência"
846,"casa, madeira, cerâmica, telha cerâmica, beiral, porta, janela, caixilho, degrau, patamar, habitação, residência"
847,"jardim, madeira, telhado duas águas, beiral, porta, janela, caixilho, degrau, patamar, banco, mureta, habitação, residência, casa"
848,"jardim, madeira, cerâmica, telha cerâmica, telhado, beiral, porta, janela, caixilho, degrau, patamar, estrutura, habitação, residência, casa"
849,"madeira, cerâmica, telha cerâmica, telhado duas águas, beiral, porta, janela, caixilho, degrau, patamar, habitação, residência, casa, jardim"
850,"guarda-corpo, concreto, concreto aparente, concreto pintado, ferro, vidro, estrutura, pilar, mezanino, viga, pano de vidro, esquadria, rampa, corrimão, guarda corpo, mesa, clube, circulação"
851,"rua, madeira, concreto, alvenaria, vidro, ferro, passarela, caixilho, torre, público, transporte, calçada, poste"
852,"alvenaria, cerâmica, ferro, madeira, vidro, platibanda, azulejo, caixilho, veneziana, muro, degrau, varanda, guarda corpo, marquise, cobertura, pilar, apoio, telhado duas águas, beiral, habitação, residência, casa, calçada, rua, guarda-corpo"
853,"concreto, concreto aparente, ferro, vidro, fachada cega, abertura, brise, pano de vidro, montante, janela basculante, parede curva, pilar, comercial, edifício, prédio, jardim, rua, calçada, poste"
854,"concreto, concreto aparente, ferro, vidro, fachada cega, abertura, brise, pano de vidro, montante, janela basculante, parede curva, pilar, comercial, edifício, prédio, jardim, rua, calçada, poste"
855,"concreto, concreto aparente, ferro, vidro, fachada cega, abertura, brise, pano de vidro, montante, janela basculante, parede curva, comercial, edifício, prédio, jardim, poste"
856,"concreto, concreto aparente, ferro, vidro, fachada cega, abertura, brise, pano de vidro, montante, janela basculante, parede curva, comercial, edifício, prédio, jardim, poste"
857,"concreto, concreto aparente, ferro, vidro, fachada cega, abertura, brise, pano de vidro, montante, janela basculante, parede curva, comercial, edifício, prédio, jardim, rua, calçada, poste"
858,"concreto, concreto aparente, ferro, vidro, fachada cega, abertura, brise, pano de vidro, montante, janela basculante, parede curva, comercial, edifício, prédio, jardim, rua, calçada, poste"
859,"concreto, concreto aparente, ferro, vidro, fachada cega, abertura, brise, pano de vidro, montante, janela basculante, parede curva, comercial, edifício, prédio, jardim, poste"
860,"concreto, concreto aparente, ferro, vidro, fachada cega, abertura, brise, pano de vidro, montante, janela basculante, parede curva, comercial, edifício, prédio"
861,"concreto, concreto aparente, ferro, vidro, fachada cega, abertura, brise, pano de vidro, montante, janela basculante, parede curva, comercial, edifício, prédio"
862,"concreto, concreto aparente, fachada cega, abertura, brise, comercial, edifício, prédio"
863,"concreto, concreto aparente, cerâmica, ferro, vidro, estrutura, veneziana, montante, caixilho, brise, platibanda, fachada cega, pilar, terraço, guarda corpo, pano de vidro, esquadria, prédio, edifício"
864,"concreto, concreto aparente, cerâmica, ferro, abertura, brise, fachada cega, pilar, platibanda, guarda corpo, muro, prédio, edifício, guarda-corpo"
865,"concreto, concreto aparente, cerâmica, ferro, abertura, brise, fachada cega, pilar, platibanda, guarda corpo, muro, prédio, edifício"
866,"concreto, concreto aparente, cerâmica, ferro, abertura, brise, fachada cega, pilar, platibanda, guarda corpo, muro, prédio, edifício, guarda-corpo"
867,"concreto, concreto aparente, cerâmica, ferro, fachada cega, pilar, platibanda, guarda corpo, muro, prédio, edifício, guarda-corpo"
868,"concreto, concreto aparente, cerâmica, ferro, fachada cega, pilar, platibanda, guarda corpo, muro, prédio, edifício, guarda-corpo"
869,"concreto, concreto aparente, cerâmica, ferro, abertura, brise, fachada cega, pilar, platibanda, guarda corpo, muro, prédio, edifício, guarda-corpo"
870,"concreto, concreto pintado, ferro, vidro, estrutura, veneziana, montante, caixilho, janela basculante, brise, prédio, edifício, concreto aparente"
871,"concreto, cerâmica, ferro, vidro, brise, caixilho, prédio, edifício, pastilha"
872,"concreto, concreto aparente, ferro, guarda corpo, pilar, terraço, prédio, edifício, guarda-corpo"
873,"concreto, concreto aparente, ferro, guarda corpo, pilar, terraço, prédio, edifício, guarda-corpo"
